date,v
2025-01-01,1.0
2025-01-02,2.0
2025-01-03,3.0
2025-01-04,4.0
2025-01-05,5.0
2025-01-06,6.0
2025-01-07,7.0
2025-01-08,8.0
2025-01-09,9.0
2025-01-10,10.0
2025-01-11,11.0
2025-01-12,12.0
2025-01-13,13.0
2025-01-14,14.0
2025-01-15,15.0
2025-01-16,16.0
2025-01-17,17.0
2025-01-18,18.0
2025-01-19,19.0
2025-01-20,20.0
2025-01-21,21.0
2025-01-22,22.0
2025-01-23,23.0
2025-01-24,24.0
2025-01-25,25.0
2025-01-26,26.0
2025-01-27,27.0
2025-01-28,28.0
2025-01-29,29.0
2025-01-30,30.0
2025-01-31,31.0
2025-02-01,32.0
2025-02-02,33.0
2025-02-03,34.0
2025-02-04,35.0
2025-02-05,36.0
2025-02-06,37.0
2025-02-07,38.0
2025-02-08,39.0
2025-02-09,40.0
