name,value,empty_col,bad_date,extreme
row0,,,2024-06-14,106.61
,56.78,,2024-10-26,94.94
row2,44.14,,2024-11-17,
row3,40.91,,2024-02-30,112.64
row4,30.08,,2024-08-26,86.54
row5,59.72,,2024-11-27,1000000000.0
row6,50.17,,2024-01-01,81.85
row7,52.06,,2024-07-04,121.02
row8,42.16,,2024-10-21,102.66
row9,62.26,,2024-02-04,107.07
row10,59.43,,2024-02-10,109.39
row11,48.78,,2024-10-09,91.42
row12,44.44,,2024-08-15,92.01
row13,46.43,,2024-07-02,109.61
row14,42.01,,2024-08-13,90.74
row15,50.27,,2024-02-15,105.04
row16,43.84,,2024-07-04,98.66
row17,55.86,,2024-06-10,82.09
row18,46.41,,2024-09-14,114.5
row19,46.46,,2024-01-09,80.66
