date,value
2025-01-01,12.17
2025-01-02,11.4
2025-01-03,12.94
2025-01-04,15.27
2025-01-05,15.79
2025-01-06,16.25
2025-01-07,15.45
2025-01-08,14.91
2025-01-09,17.22
2025-01-10,15.88
2025-01-11,17.67
2025-01-12,16.34
2025-01-13,14.34
2025-01-14,15.17
2025-01-15,
2025-01-16,13.42
2025-01-17,11.15
2025-01-18,11.93
2025-01-19,11.38
2025-01-20,11.51
2025-01-21,10.95
2025-01-22,8.29
2025-01-23,8.9
2025-01-24,10.77
2025-01-25,7.74
2025-01-26,12.09
2025-01-27,10.49
2025-01-28,12.1
2025-01-29,16.01
2025-01-30,14.96
2025-01-31,15.85
2025-02-01,17.97
2025-02-02,18.62
2025-02-03,18.93
2025-02-04,21.23
2025-02-05,24.89
2025-02-06,23.7
2025-02-07,23.4
2025-02-08,23.34
2025-02-09,24.15
2025-02-10,23.67
2025-02-11,21.04
2025-02-12,22.52
2025-02-13,21.15
2025-02-14,22.86
2025-02-15,19.14
2025-02-16,20.5
2025-02-17,16.11
2025-02-18,17.61
2025-02-19,15.51
2025-02-20,14.86
2025-02-21,17.14
2025-02-22,14.48
2025-02-23,15.95
2025-02-24,15.54
2025-02-25,17.82
2025-02-26,18.47
2025-02-27,15.79
2025-02-28,21.2
2025-03-01,20.44
2025-03-02,
2025-03-03,25.18
2025-03-04,26.49
2025-03-05,22.65
2025-03-06,29.79
2025-03-07,28.09
2025-03-08,26.67
2025-03-09,29.55
2025-03-10,31.21
2025-03-11,26.94
2025-03-12,30.64
2025-03-13,28.19
2025-03-14,27.27
2025-03-15,26.78
2025-03-16,25.41
2025-03-17,26.09
2025-03-18,25.33
2025-03-19,
2025-03-20,25.53
2025-03-21,22.44
2025-03-22,24.09
2025-03-23,20.59
2025-03-24,23.22
2025-03-25,20.89
2025-03-26,22.1
2025-03-27,24.44
2025-03-28,23.3
2025-03-29,26.08
2025-03-30,24.35
2025-03-31,26.64
2025-04-01,29.71
2025-04-02,32.37
2025-04-03,29.69
2025-04-04,34.8
2025-04-05,33.87
2025-04-06,37.61
2025-04-07,34.5
2025-04-08,34.63
2025-04-09,36.05
2025-04-10,33.99
2025-04-11,35.54
2025-04-12,34.86
2025-04-13,36.31
2025-04-14,34.18
2025-04-15,31.07
2025-04-16,30.16
2025-04-17,29.85
2025-04-18,27.45
2025-04-19,26.63
2025-04-20,32.28
2025-04-21,27.58
2025-04-22,30.46
2025-04-23,27.48
2025-04-24,28.19
2025-04-25,26.71
2025-04-26,31.69
2025-04-27,30.09
2025-04-28,34.1
2025-04-29,31.74
2025-04-30,35.86
